ts,elapsed_s,ready_state,http_code,rss_kb,open_fds,meter_count,wip_gen_bytes,wip_wal_bytes,equipment_gen_bytes,equipment_wal_bytes,scratch_run_dirs,snapshot_current_gen_wip,snapshot_current_gen_equipment,snapshot_live_gen_wip,snapshot_live_gen_equipment,note
2026-08-30T14:36:48Z,0,ready,200,277440,222,237,536576,0,536576,0,0,1.0,1.0,1.0,1.0,
2026-08-30T14:36:59Z,11,ready,200,269128,222,261,536576,0,536576,0,0,2.0,2.0,1.0,1.0,
2026-08-30T14:37:19Z,31,ready,200,295364,222,261,536576,0,536576,0,0,3.0,3.0,1.0,1.0,
2026-08-30T14:37:29Z,41,ready,200,297636,222,261,536576,0,536576,0,0,3.0,3.0,1.0,1.0,
2026-08-30T14:37:49Z,61,ready,200,305040,222,261,536576,0,536576,0,0,4.0,4.0,1.0,1.0,
2026-08-30T14:37:59Z,71,ready,200,298688,222,261,536576,0,536576,0,0,5.0,5.0,1.0,1.0,
2026-08-30T14:38:29Z,101,ready,200,313100,222,261,536576,0,536576,0,0,6.0,6.0,1.0,1.0,
2026-08-30T14:39:00Z,132,ready,200,311856,222,261,536576,0,536576,0,0,8.0,8.0,1.0,1.0,
2026-08-30T14:39:30Z,162,ready,200,325168,222,261,536576,0,536576,0,0,9.0,9.0,1.0,1.0,
2026-08-30T14:40:00Z,192,ready,200,325872,222,261,536576,0,536576,0,0,11.0,11.0,1.0,1.0,
2026-08-30T14:40:30Z,222,ready,200,338688,222,261,536576,0,536576,0,0,12.0,12.0,1.0,1.0,
2026-08-30T14:41:00Z,252,ready,200,334208,222,261,536576,0,536576,0,0,14.0,14.0,1.0,1.0,
2026-08-30T14:41:30Z,282,ready,200,345212,222,261,536576,0,536576,0,0,15.0,15.0,1.0,1.0,
2026-08-30T14:42:00Z,312,ready,200,340540,222,261,536576,0,536576,0,0,17.0,17.0,1.0,1.0,
2026-08-30T14:42:30Z,342,ready,200,345896,222,261,536576,0,536576,0,0,18.0,18.0,1.0,1.0,
2026-08-30T14:43:00Z,372,ready,200,347816,222,261,536576,0,536576,0,0,20.0,20.0,1.0,1.0,
2026-08-30T14:43:30Z,402,ready,200,354884,222,261,536576,0,536576,0,0,21.0,21.0,1.0,1.0,
2026-08-30T14:44:00Z,432,ready,200,351264,222,261,536576,0,536576,0,0,23.0,23.0,1.0,1.0,
2026-08-30T14:44:30Z,462,ready,200,365360,222,261,536576,0,536576,0,2,24.0,24.0,1.0,1.0,
2026-08-30T14:45:01Z,493,ready,200,359456,228,261,536576,0,536576,0,3,26.0,26.0,1.0,1.0,
2026-08-30T14:45:31Z,523,ready,200,362844,228,261,536576,0,536576,0,1,27.0,27.0,1.0,1.0,
2026-08-30T14:46:01Z,553,ready,200,369836,224,261,536576,0,536576,0,0,29.0,29.0,1.0,1.0,
2026-08-30T14:46:31Z,583,ready,200,367620,222,261,536576,0,536576,0,0,30.0,30.0,1.0,1.0,
2026-08-30T14:47:01Z,613,ready,200,375364,222,261,536576,0,536576,0,0,32.0,32.0,1.0,1.0,
2026-08-30T14:47:31Z,643,ready,200,370484,222,261,536576,0,536576,0,0,33.0,33.0,1.0,1.0,
2026-08-30T14:48:01Z,673,ready,200,376552,222,261,536576,0,536576,0,0,35.0,35.0,1.0,1.0,
2026-08-30T14:48:31Z,703,ready,200,373616,222,261,536576,0,536576,0,0,36.0,36.0,1.0,1.0,
2026-08-30T14:49:01Z,733,ready,200,368464,222,261,536576,0,536576,0,0,38.0,38.0,1.0,1.0,
2026-08-30T14:49:31Z,763,ready,200,377600,222,261,536576,0,536576,0,0,39.0,39.0,1.0,1.0,
2026-08-30T14:50:01Z,793,ready,200,383516,222,261,536576,0,536576,0,0,41.0,41.0,1.0,1.0,
2026-08-30T14:50:31Z,823,ready,200,377156,222,261,536576,0,536576,0,0,42.0,42.0,1.0,1.0,
2026-08-30T14:51:01Z,853,ready,200,380764,222,261,536576,0,536576,0,0,44.0,44.0,1.0,1.0,
2026-08-30T14:51:32Z,884,ready,200,379208,222,261,536576,0,536576,0,0,45.0,45.0,1.0,1.0,
